date,title,link,Ticker
2025-07-29,"Stock market today: Nifty50 ends above 24,800; BSE Sensex up over 440 points - Times of India",https://news.google.com/rss/articles/CBMiswJBVV95cUxQTjEwZFdhNGtzcVNvOXlxTWxuYkptTXRWVUNhal93ekxSeGczMDNwUkV0bElfQk9fRjBlUHh6QXJFbEVDdklmNWlrWmZ6NUVNTFlpSmJEYTRWUTNDRFVvQlpyeHZpeVJSQWZQd0h3eTd2bmJWMTNOak95LU1BYW5xMHJzM0QxMDE4bGdLVDJCenBuS1BQWm05UWdxWldEaDhTLUdHdEFMVjJ5andGVXZqVVlqNzBuY0p4RjZ1ZFV0X3ZQaERSYllReWFUYlRiVXRDdWRxSUFuWG5rbjhlbFVfMzlvTDZKd3RyTUx5QW5HUDlDMmlHcnhKMTAtbzV0UkViTGpOakd1MVVzbmhyUnlKdEZlNTZCc0pyWEhnRVZnaGJvLVBVa0xTTU1LcGJWODYwV2dj0gG4AkFVX3lxTE1PRG5nVDFPT0FiUFpkSjUzNS01bVVjQlJ1cUhuMkdIQ1dmcXhfQWNlRXZPV3RpRlV1VFUtS0ZIRHZpMEExYk1ObkFYRkZ0aUg3OGNqQTVfSS1iX1JKZHFpV1dPYnJoNzFPOV92NTJkUjZ6bkJTbkw3SkJqWEJwcjNCLXR0Wkt1cGhtMjk0S0I4SE1LakpsekVsRUJYRGdiWXhBR01PUnpBaW8xY0xOSm9zYjF5MVFHLUtYZGVJX1JQSGtvTk1vTUF4WDBKMjZxX2F6VEg0aGQtb2dIZ1dFdjJVc2poNnJveE9ac0huU0ZPX3Fka0lvd3ZMTFdlcTM1bUNZSG4tTTdXQ2V2bXRhb0k4NnNJRlNXTTBLX252SU5JbTZISk5pLVZ3Snk3TVdfMjJCbGppQkMzYQ?oc=5,^NSEI
2025-08-01,"Stock market today: Nifty50 ends below 24,600; BSE Sensex down over 580 points as Donald Trump's 25% tari - Times of India",https://news.google.com/rss/articles/CBMiqAJBVV95cUxQUWJlNzRXQUQ1V0x6czFYbTl3S2cwREROcldBTXhGT2tkU0JNc1J4VVJNYVdXSWluekQ3dE9jdWYwdktZWHY4eGFEcXd3Z1ZFeXNZbmxjbDlCZE1LVGZlVmVBcG9ZNUFGVVNROTh2bHZXcjVCLWRGSC1qTkEwTGRkQzNOSE5zX1N5aHMxdlpkT0lPeGZrWHd0UWlWSk5mSlVXTGN3UUY5bnd0QlZEbUNLRTVoZUh6bVpKbUduNGJWU3FLdjQ1c28wbUE2NWlpa3N3SWd3R29OU2Z3cmhGVkt2Z3VROWtid2FJSzEtR3V0LVpmRHlvQmw3S0VtUHpGdVJjQXRFU1ZZbUk1bl91RUtodmZZZnN2a1hnZktBQUIzNEVoSFYxcnV5N9IBrgJBVV95cUxQSmpEUW9xelBVTnFtUWZxX3l6enl4Ym5qRGlqaW1rY2tMMDVrTWV3WkM0Wkg0c0lvUS12UG9GNGJjWjB4U0V2TnZwZTBHUEVhN2FCZnUxVTFycEZyOWFPTmNudGhWVVJmcFB3TnFISlJoSm8yT2FEQ2ZYOU41TGttQVBDX0JEb09mdDZ2NU9ZVGMtREh2OWRrYTlOWnJlR0t2WXRabkh4a0tJb1A3Wm56REhoaVVjRkQzanB4WmQySnpEZjAteEJHRXdYS2QwODJ3Vy1KR3o0SllhWVdBNi11NlcwVzZKMEhFMnFORm1XeDdVMThXZGFOZEdFZTdDRWttMnBLMEoyX1pLd1kzTDBhLUtKeU1hdDhRWkpQdnJMZFlsTTRoYjh6VXd6ckZEUQ?oc=5,^NSEI
2025-08-06,"Sensex declines 166 points, Nifty 50 below 25,600 — 10 key highlights from Indian stock market today - Mint",https://news.google.com/rss/articles/CBMi-wFBVV95cUxPVk1mZVBaRl93MUhwaXpxNUk2dzRwV2NEbzVLZFZ6eW9ZQjhxenYyQU45N0hjcmE5RERmVmNtajlkYjVPc2xMZ3F4UlFsbG5rbDBna2xObnRoRk9DRVRDZ0s5Qy00dTNZRlhRcnA3aXdxNEtLdERXc3dYcE9kbHQyMDRkLXVaS0xBMUp6ZVo2d0F4SU80Nzd4bm9TWjM1MjBBaVVlZTI1Uk94Mm5XemtUbm0yNlNaYkZhTW1ycnRHTXM0ZmNCSjBnOE9ESGRJMmFoMmxoWXhiNm1mYUxZRWtXVklKVktwU2RHMDdNQ0ZlUXVod0FpQ2NXVUxDa9IBgAJBVV95cUxONERNY2ZKQVFPLVFOUW0wUklyQ3QyVmdrcm51QmpUaTVHbXZYczFvcXBrUmFXbHYzR3lCdW1YZWl0MWZtNkVSLVBXX0dUeG1zSTJ1ZHFEYTQzWWg1TjgyRU1HZ05fcnpoWDhmZ2N5aWRXM1Vvbk9OeTlpX2JzRmdkNDZ0dDhjSTNyWWZhSk9mLWt3b0MzN3c2UU5fSmZ6Y2tIbG0xUFUxejNZNGVXcnE5MnRDbmF2emR1YWpvODdleU5CUjhLQnA4NVM5eUlrWFZoZ2FzUUFjMTc1QWVNbTNGWjBmUFRPWkFUTWtKaWFlTzJuY203T2dGb19icV9kNFZS?oc=5,^NSEI
2025-08-18,"Stock market today: Nifty50 ends above 24,850; BSE Sensex rallies over 670 points on GST reforms push, S& - Times of India",https://news.google.com/rss/articles/CBMiogJBVV95cUxPZVZ6TGFnMTBGUGIzYlhDVVVDcVJQbkJSbWtWSTFhMndDV0FtSHVBaGt1VFFzY21rZjUzTWRpbExhUnI0UElILUdvdU93QmN4LUNjcld5UzlMMjZwNU1aOWxkNUlCMzcwcnhZWC1paUJST19DcktwT3pwUnM0RnpfeVM0RW0tbV91anFUTW1GcFpsZ2poOUVIRnpBSFp4eFJ4Q29tS1JHNHRackN2aXRqdjhYcWE2YTh4ZGJWU0xHWGdFeU8wMFdCSnY2a1gxZVJvLU5HSW9kSnNQSUk2Znk5VHZhd1FUTGpkb2dscE1HV002djNlOU9Gd2ItVDFTR1FmTEtZeUtjSGRJVmlqcmFCWFFtdmgyaTZQa3gxOF9FR1I4QdIBpwJBVV95cUxPNGdqUTNwZmJzT2pHNlFSNGRxTXNhVS14SnJCc00weXRFY2hLckxHUDZGVldqaGlvLTZWQWJRZ3NqZHlLWG1kZ0dvbnJlUDhha3N2aEszb3B0Z2lZNVFVaFJKdk1zVGNUcE51SnZ2VzJ3V0liLTBrX0hCSUJqYnA3YjdpMmxUOWpSQ3BxX3l3V1YwRmU4bmczLW5wM2VUTFg4amdrQmJjZl91SzA5QVNpVDVocElWeVk1d0Z2a09Kb1RrcWc3X1VfUHU0dk9SZGVVcEZZTWxhZ0VSX3EtbS1YQWJrdWl5c1NzcGhHc2hPcjgtRzIxUTkwcUpSZ1V2eG9xOW5oTFFfQWdiaURTS2hteHU3RE5QRFVBbUpQOVVSc0tGT20xakh3?oc=5,^NSEI
2025-08-20,"Nifty 50, Sensex today: What to expect from Indian stock market in trade on August 20 - Mint",https://news.google.com/rss/articles/CBMi6AFBVV95cUxOQUhBcWNDclFjU0h6T2Z0aVVnVXdCTEtudTFVMV93NUJKenVSQ2hCYmNSR1JPTUQ2STliREhkY3d4YVg5VHJvMk11NXE4WW92Q3l1VXRyQWF4ZlVRWGpyaFhLWVpNQUdyQ1JuQmFvbTJYOVRuamJZcm4xcXVsd3dldHJHRXljQ2pTcWZuSlJ6Z19JN0lxNkNMSkhsQmZMVEY3TkNSSW5XTHhILUtOVzVPckVDaGhIUkRJeVctakdHOGRrMXUteWVqQk5rR01iQUsxd20yclFNQ193QXhQYmVldkw3OTJNNHpk0gHuAUFVX3lxTFBZZ0xfenJWTWJMUEhmRVVRLTJxWXN4ZWJBNmlSZ2hBLVJmeXdiNEU3ODR6aHhqd1hmbXBmMUtnaGFSSl9oUmFJbXRBOGNZYVVYSTFLRTVYdUVsWHNWZW9fZF94UF9zX3hKOW9DTzJqV3JYRU5CMGU1UW9RWDVjckRTVGhLQ25vV1FNVmdWaUdkajh1YTN3RThlYUFyYjlld1JzSEg0aEJMd2JHQlVnaWQtc19rWms4V1FtZDBWclFsY2tObF9oYThvNlE5N3E1SmRaaEZfYWxDd2tpaEFtbjdaT3NqTG1ndjdkb0piV2c?oc=5,^NSEI
2025-08-22,"Stock market today: Nifty50 ends below 24,900; BSE Sensex down almost 700 points - top 5 reasons for fall - Times of India",https://news.google.com/rss/articles/CBMiqwJBVV95cUxNb0dqRUNqbENmTUF0WWhsNGxvQ2Y2UjNiQjVXbTBvSHJDMDF2QmFPSFNyYWdjSmdWbi0wMVV6NnB5MmYxaW5uNjRvYnpWOWh5R2JVdkJOdGU4Q1BkbFVocWRvZEktUW44ODI2ZFoxYU9yUmFkTGxwQUtERHFMUC1UcDhUSU1CTEZZYldOb3BTYVJ5Vk9OTDlFd2hZRk9fWU5VWGRVYTBCMFFvLTl5VTZlRXBuVkQxdVFoT3p0YTJLUjRWYmcwb2dWcHpvWmFwcm11UWo2cXFzOHdzTmQxeUxaR0ZhVGFHS0tRaDRfR1FmWlR6VUd5S2llQ3N1c2k4V0FDZWdLUkNpVFJSUlJPd2VvNmpBa05jVXFvdHVZMVhlcUlWTnRFbU9KbGd1VdIBsAJBVV95cUxOVk51b3Z2Ym1uejRfQUh0V0lOXzJqLWpvb3llWmhlaFhObDc2azJUbUJHR3N4X293RS04djJwbkdEZG9iTDMwRVZNeVNnaEFtZS1YZTRUTl8wcWlPU1k2ekNTMlRqYVJOdWx3aWJ3ODFNbVAwbFVyT3hSTWM1UmpEUkxkRlVtNU5QMkZFdnJBTTdWUzRYeG56ZFdvQVF6YXJIVm1Yazk2cld0Zzl6SWpuN2ZuYklVbkxCblBTbHRNM2tBWkc3RzNyU1ZabDkySml1bHNVYThqdHR3QlpDREVESm9BNTJJNUJQVFlhRXBpeWFLZTdvYjVPSG1NOHhHcFZ5NlR0RlZ0TDlGQnMxUmdWaTVvYXpJZlpFanVpbDZzc0pjdXdwNHdKR0NKUmF6ZE5z?oc=5,^NSEI
2025-08-26,"Sensex, Nifty 50 crash 1% each— 10 key highlights from the Indian stock market today - Mint",https://news.google.com/rss/articles/CBMi5gFBVV95cUxPdG45bjhWRElsRlFYMFhqUW5oMFFWZzlibHRKR3g2X0hJd1E3TUktRFRuQkFiMHFmc0dwdzZaRHl0Z0FNdG43b3NibXJ1Z2twZGhkcDFLRVQzTFhubkZ5cnhveF9VQVJ1MUY4blNoLUdBWWFEc0VQSHpKYW9PSEM1YW1DR2x1dXlrSW1RUWQxNlA0aHhsM1lnUUJsSFM1RTRrMVQtMzZoNTIyOTYtaVY1WTRiZGM3RTlCdmRBZDRMWng4alUzdC03VERXcWhEYUpXUXl6TlEzWnZOQ3hyUmtuXzMwX3NnQdIB6wFBVV95cUxNSWF6c3JpQ2NoTDhRY3lZNjJubFVfUl9KUkM1cGpHUFVsX1ItbUNWZkFGUTc1QlROY2RnN3FMajduU3lHMEZBLXF1RVJzek1QMk9YSVR6SEl1ekVOTXl4QklxdnFuWm13NDZBX3Z6d3IyZ3JMWXktRncxRTk3NldKSXJWNVZ4allCeVE0NGsyZk9aRnQwUFpOYmpITTIyU2lqTFdlSi05UWlFeXgyUTFWT3dKOTV3eC1qUUdjUjlGUFBwaHlETkNXN0V0ODJuN2VPN0tNeFZYbEFaRl9SZ1M3LU1ESGdKSXRwZWJF?oc=5,^NSEI
2025-08-26,"Donald Trump tariffs impact: Why did Nifty50, BSE Sensex fall today? Top 6 reasons for stock market bear - Times of India",https://news.google.com/rss/articles/CBMiowJBVV95cUxQYXIxMDdPbDNCc3FxZlVQaVVZVnVqMEd4X21FNVBJSW5ZclJFV3NNQjg2SGNMQUNmTHk1VEFQMXV2RVpDdS1relI5QnZPSWpKckpsbTZYeTQtX2F3eWhCdHhlVjN4cFZfZHJNdUs2aHd2NGdjaVhabzFWb1FJdVBUWDlFX0NXX3VzcDJjaXQ0QnI3OU9HSkJoa19sR2o0aGk5VG9USmFlTnU0c3pZLXZ1blJtaUhrVDdXY1RrWWtvSWtWTDJJUHNIMlk4bkpfNnpCYV9ndHdjaUVHWDh2NWVyc0I1OWJqbWxMTUFOZWVFVmhIaktQU1lZaV9Sbms4d2VPNU8xZGR5WWFNQUdTeGFZME9qbHhpMWdaWHMtdVZZQzVzR1XSAagCQVVfeXFMT3dLZkszbzJCNWNOYl9lemk1Y21GVTBfT3J4ZzZyMlpjTmFqQUh6a280Y0EtdThkQW5pRnRBVlQ4TnB0SkNrSW9xalN4RlZGb2V5c3NCZWhKdmVpSmVZMnNXRXpCajc5Q1NKNlh3eUwtYnR0QzFQeEE5NXFxNDZzV1JwZVF2REp3Y21EUnVuY2xOLVhnYmtWMDZkMVVpVGZBT0VDN3lMZ05BeWFaN2Z0N3ZCa1kzRmd0Snh1Ylc0WGRsdENWdDJHQVNtb0pKYjNIenRPbVlXcnVQRkpBTlhtcEVQMk45Nm5uYkZmN1dFbUNXQTJ0TkNVMlBGaGRQa0ZjcVVTRHZpWWxzbE5fSW4xOVFZSDVYaktva3FmTGhIclAyajY1TUREdUQ?oc=5,^NSEI
2025-08-27,"Stock market crash: Can Nifty 50 touch 24,000 amid renewed fear of Trump's tariffs on India? - Mint",https://news.google.com/rss/articles/CBMi8AFBVV95cUxQSFc1Zm9MczZOdDJCaV9qejBLWC04SmdoX3pjaTJldkpVUGxjQVhEMUxqSHVfcmY1RzVlZ3dzTUhTNUtrWTlLLVNydGZxeDBXR0ZGNWZIbGVuaDB5Rzhacm1pcWlZbHBDd3NzOThYRUZ5Tnp5dzZ3emRWX0pEMFJGUHc1MVVmSWVaVmtIeTNIYXhxME0zUlh4LTh5dVpoeTN1TXRXTlRCRVdMbWdSQXp5VWlWRXBSSG9WNDJlQ1k4b1RSblRmNXN1MWtXWmFuR2RGMF9kdlRDbktMeW5SNjZnd05KaHpDU0N0UkdfZ3lvZELSAfYBQVVfeXFMTmdIbmstRnBOR001WVFmcEZKbzhBQkZhd3dZVFJJSHAxVm85WEw4SFhPLTg5a3V1eE1yLTRGT2QxalQ3VDhCR2hyenZPdlZBb0hfYnZNd1BtU3poWTBURVNBaE5ZZFNRUm04amc4dXFMRUVFMTFqVDZ6aGNJRi1LenRsdVYwQTctZXhxSzA0RGlHdGJKcktmUVdpMzVnQnZEODRCUXVSbWxPSGVtTmhKT19NWkdCRlpENGlHUHhON3IxSDBvZ1RoMkRfU1FPSVRXa0pTX3NuM0gtUHNwb2t2ajhxM2UyZGV5ZkpORU9NS0JkZVU3Z1F3?oc=5,^NSEI
2025-08-27,"Stock market today: Nifty50 ends below 24,720; BSE Sensex down over 800 points as Trump administration no - Times of India",https://news.google.com/rss/articles/CBMiswJBVV95cUxOQjR5eEtGV195ejJfaGw0cGxNQ29iX0h2UGpOS2FBeGx1VGNPMDMwWHZDUWlyaUFEWUJZRDhBRXhDV25pUXJHU1g0eXhuSjhFeUZTb3hsYnBOcEdHY1VKd0JiRUJ5dDdNdnJWZk5UbEo5TUZNb0dRWmZuNy02RGlBQ0pmbllJUWxrQV8zalozQmRNbWRUdmVXaDBmSFpNbTBYSjZSbW5sSmZ4WS1wMHVoXzdzSVJ4cmlSTUIyRzNscGtaTnItdzFlRzRHVkEtWjlQR2Zlb29EQ1FGandYWWpRSGZwRm0wcktjZ1p5bWZSOE14TVN4bUkyc2xaNllMZy02TG1RRVZlQjZRN3NZclcxd1JvRFc1VHp2NndSTDRKcndWdlNVajZieXRoMlpBNzBOZlRV0gG4AkFVX3lxTE54MGxOeWxQVk4tcDhwWGFqRlNqQVl5ckRUcVVyTUhvckdOc0lXZk1JbmhHNWJseC1zeU5fZUROTVRndjdvVmEzalFmSmtVTWpkVE85ejBQSFI5UGp2LWdCZHNaektCN2o1Y1p1dFJGa3dpZUNRdUVYdGVEMnRNSDRFeTIzOTJBbGtQVU00SVVDMTMzZGhnQ04zaWNFbVRBZGVsZnppTzBtN0JfSHRlYU1KSEJxS0RHejhnQy1HX2ZMWVFEQXNVWWFHZVBsVHNEMGpGTzN0aXhpTThJY3NpejFKUi1ENnRHQ2pLdmRhZzNfWWd0VHR4bUJwczFDT3k1TzBmWVk0RXFQbi13Wm5KTi04ZXlJZnc1WlJLWHpQX0d4UFFuNU15VHhacTlVWnM3WjlDdmpsVjRXVw?oc=5,^NSEI
